RegionID,SizeRank,City/State,Lat,Long,Monthly Average,Radius,YOY %
753912,398,"Pinehurst, NC",35.1954,-79.4695,1661,7.5,0.10%
394953,399,"Paducah, KY",37.0834,-88.6,975,10,0.00%
395190,400,"Victoria, TX",28.8053,-97.0036,1031,10,9.00%
395038,401,"Rome, GA",34.257,-85.1647,1091,10,8.80%
395086,402,"Sevierville, TN",35.8681,-83.5618,1572,10,-6.70%
394882,403,"Moses Lake, WA",47.1301,-119.2781,1475,10,-3.50%
394441,405,"Cape Girardeau, MO",37.3059,-89.5181,846,10,6.60%
394580,407,"Fairbanks, AK",64.8378,-147.7164,1594,10,4.60%
394410,408,"Brainerd, MN",46.358,-94.2008,1145,7.5,0.00%
394505,411,"Corvallis, OR",44.5646,-123.262,1633,7.5,0.80%
394988,412,"Pocatello, ID",42.8713,-112.4455,987,10,3.10%
394501,413,"Corning, NY",42.1429,-77.0547,1373,7.5,4.30%
395175,416,"Ukiah, CA",39.1502,-123.2078,1500,7.5,0.00%
753887,417,"Hermiston, OR",45.8404,-119.2895,1162,7.5,0.00%
394373,420,"Beaver Dam, WI",43.4575,-88.8373,1004,7.5,6.10%
394641,422,"Grants Pass, OR",42.439,-123.327,1167,10,0.00%
