RegionID,SizeRank,City/State,Lat,Long,Monthly Average,Radius,YOY
394323,186,"Amarillo, TX",35.221,-101.8313,915,15.0,1.60%
394772,187,"Laredo, TX",27.5306,-99.4803,1212,12.5,3.80%
395171,188,"Tuscaloosa, AL",33.2098,-87.5692,1280,10.0,4.10%
394483,189,"College Station, TX",30.6279,-96.3344,1319,12.5,3.00%
394732,190,"Kalamazoo, MI",42.2917,-85.5872,1205,12.5,3.50%
394811,191,"Lynchburg, VA",37.4138,-79.1423,1018,10.0,3.20%
394455,192,"Charleston, WV",38.3498,-81.6326,1091,15.0,8.80%
395240,193,"Yakima, WA",46.6021,-120.5059,1168,10.0,2.40%
394585,194,"Fargo, ND",46.8772,-96.7898,989,15.0,3.10%
394387,195,"Binghamton, NY",42.0987,-75.918,1230,12.5,7.90%
394609,196,"Fort Smith, AR",35.3859,-94.3986,773,12.5,2.20%
394334,197,"Appleton, WI",44.2619,-88.4154,1088,12.5,6.00%
845160,198,"Prescott Valley, AZ",34.61,-112.3157,1673,12.5,5.30%
395161,199,"Topeka, KS",39.0558,-95.689,1229,12.5,6.60%
394813,200,"Macon, GA",32.8407,-83.6324,1136,12.5,-3.70%
395174,201,"Tyler, TX",32.3513,-95.3011,1274,10.0,3.70%
394361,202,"Barnstable Town, MA",41.7003,-70.3002,2465,12.5,1.00%
394519,203,"Daphne, AL",30.6035,-87.9036,1482,10.0,-0.70%
394378,205,"Bellingham, WA",48.7544,-122.4687,1752,12.5,3.50%
394429,206,"Burlington, VT",44.4759,-73.2121,1860,12.5,1.40%
395030,207,"Rochester, MN",44.0121,-92.4802,1604,12.5,2.80%
753895,208,"Lafayette, IN",40.4167,-86.8753,1256,10.0,5.40%
394454,209,"Champaign, IL",40.1164,-88.2434,958,12.5,6.00%
394848,210,"Medford, OR",42.3265,-122.8756,1467,12.5,6.20%
845164,211,"Lebanon, NH",43.6423,-72.2518,1684,10.0,6.20%
394459,212,"Charlottesville, VA",38.0293,-78.4767,1846,12.5,2.90%
394763,213,"Lake Charles, LA",30.2266,-93.2174,1040,12.5,2.30%
394773,214,"Las Cruces, NM",32.3199,-106.7637,906,12.5,5.00%
394464,215,"Chico, CA",39.7285,-121.8375,1406,12.5,2.70%
394681,216,"Hilton Head Island, SC",32.2163,-80.7526,1914,7.5,-0.60%
394346,217,"Athens, GA",33.9519,-83.3576,1554,12.5,-0.50%
394765,218,"Lake Havasu City, AZ",34.4839,-114.3225,1264,10.0,4.50%
394485,219,"Columbia, MO",38.9517,-92.3341,1041,15.0,3.90%
395114,220,"Springfield, IL",39.7817,-89.6501,1017,12.5,4.20%
394691,221,"Houma, LA",29.5958,-90.7195,1402,10.0,9.60%
394872,222,"Monroe, LA",32.5093,-92.1193,1028,12.5,7.90%
394565,223,"Elkhart, IN",41.6819,-85.9767,900,12.5,8.90%
394726,224,"Johnson City, TN",36.3134,-82.3535,1197,10.0,6.80%
